Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
10.187,44,36,PID,40,138.0
10.207,46,37,PID,40,154.0
10.229,47,40,PID,40,150.0
10.252,47,40,PID,40,150.0
10.273,48,42,PID,40,155.0
10.293,49,44,PID,40,144.0
10.313,49,44,PID,40,144.0
10.333,52,45,PID,40,162.0
10.354,52,45,PID,40,162.0
10.375,55,45,PID,40,169.0
10.395,56,39,PID,40,167.5
10.417,56,39,PID,40,167.5
10.436,59,30,PID,40,158.5
10.456,61,30,PID,40,162.0
10.477,61,30,PID,40,162.0
10.497,64,29,PID,40,185.5
10.519,64,29,PID,40,185.5
10.540,68,24,PID,40,200.0
10.564,71,23,PID,40,207.0
10.586,71,23,PID,40,207.0
10.606,74,29,PID,40,207.0
10.627,79,30,PID,40,179.5
10.649,79,30,PID,40,179.5
10.669,83,29,PID,40,152.0
10.690,87,31,PID,40,166.0
10.712,87,31,PID,40,166.0
10.732,90,34,PID,40,182.5
10.754,95,34,PID,40,181.5
10.775,95,34,PID,40,181.5
10.796,98,35,PID,40,194.5
10.816,98,35,PID,40,194.5
10.836,103,37,PID,40,194.5
10.857,103,37,PID,40,194.5
10.881,108,38,PID,40,185.0
10.913,113,38,PID,40,174.0
10.935,116,40,PID,40,177.5
10.957,120,42,PID,40,197.0
10.979,120,42,PID,40,197.0
11.000,123,43,PID,40,192.0
11.022,129,43,PID,40,171.0
11.043,129,43,PID,40,171.0
11.063,133,42,PID,40,161.5
11.085,133,42,PID,40,161.5
11.105,139,37,PID,40,166.0
11.125,144,28,PID,40,177.5
11.147,144,28,PID,40,177.5
11.168,150,19,PID,40,183.5
11.190,153,12,PID,40,167.5
11.210,153,12,PID,40,167.5
11.235,158,7,PID,40,146.5
11.258,163,12,PID,40,170.0
11.280,163,12,PID,40,170.0
11.301,166,14,PID,40,190.5
11.323,171,12,PID,40,197.0
11.344,171,12,PID,40,197.0
11.364,173,13,PID,40,211.5
11.385,173,13,PID,40,211.5
