Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
8.278,64,-12,0.01,0.001,0.01,0.001
8.303,62,-8,0.01,0.001,0.01,0.001
8.324,63,-6,0.01,0.001,0.01,0.001
8.345,63,-2,0.01,0.001,0.01,0.001
8.367,84,30,0.01,0.001,0.01,0.001
8.389,62,65,0.01,0.001,0.01,0.001
8.415,33,102,0.01,0.001,0.01,0.001
8.435,-2,129,0.01,0.001,0.01,0.001
8.458,-16,142,0.01,0.001,0.01,0.001
8.480,-31,147,0.01,0.001,0.01,0.001
8.502,-40,146,0.01,0.001,0.01,0.001
8.524,-40,146,0.01,0.001,0.01,0.001
8.545,-52,140,0.01,0.001,0.01,0.001
8.566,-66,129,0.01,0.001,0.01,0.001
8.587,-68,125,0.01,0.001,0.01,0.001
8.609,-72,110,0.01,0.001,0.01,0.001
8.631,-73,105,0.01,0.001,0.01,0.001
8.653,-58,92,0.01,0.001,0.01,0.001
8.673,-32,80,0.01,0.001,0.01,0.001
8.695,-21,65,0.01,0.001,0.01,0.001
8.717,17,54,0.01,0.001,0.01,0.001
8.742,62,33,0.01,0.001,0.01,0.001
8.767,67,16,0.01,0.001,0.01,0.001
8.790,89,-4,0.01,0.001,0.01,0.001
8.810,116,-23,0.01,0.001,0.01,0.001
8.831,144,-46,0.01,0.001,0.01,0.001
8.854,152,-60,0.01,0.001,0.01,0.001
8.876,168,-77,0.01,0.001,0.01,0.001
8.899,179,-94,0.01,0.001,0.01,0.001
8.922,182,-101,0.01,0.001,0.01,0.001
8.944,173,-102,0.01,0.001,0.01,0.001
8.965,172,-103,0.01,0.001,0.01,0.001
8.985,156,-97,0.01,0.001,0.01,0.001
9.006,135,-88,0.01,0.001,0.01,0.001
9.030,132,-87,0.01,0.001,0.01,0.001
9.053,114,-79,0.01,0.001,0.01,0.001
9.081,97,-63,0.01,0.001,0.01,0.001
9.102,76,-51,0.01,0.001,0.01,0.001
9.125,72,-49,0.01,0.001,0.01,0.001
